"LOCAL_AIRPORT","AIRLINE_CODE","FLIGHT_NUMBER","FREQUENCY","ARRIVAL_DEPARTURE_FLAG","SOURCE_DESTINATION","SCHED_TIME","TIME_ZONE","EFF_DT_FROM","EFF_DT_TILL"
"AMD","SG","913","1234567","1","DEL","750","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","G8","719","1234567","1","DEL","755","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","517","1234567","1","DEL","800","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","UK","959","1234567","1","DEL","805","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","UK","959","1234567","1","DEL","810","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0517","1234567","1","DEL","815","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","180","1234567","1","DEL","900","IST","2017-05-15T00:00:00","2017-10-28T00:00:00"
"AMD","6E","6373","7","1","DEL","905","IST","2017-10-29T00:00:00","2018-03-18T00:00:00"
"AMD","6E","4373","1234567","1","DEL","920","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","6373","123456","1","DEL","935","IST","2017-10-30T00:00:00","2018-03-24T00:00:00"
"AMD","UK","979","12456","1","DEL","955","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","297","123456","1","DEL","1100","IST","2017-03-26T00:00:00","2017-04-30T00:00:00"
"AMD","6E","161","123456","1","DEL","1230","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0161","123456","1","DEL","1235","IST","2017-10-30T00:00:00","2018-03-24T00:00:00"
"AMD","9W","647","123456","1","DEL","1425","IST","2017-10-30T00:00:00","2018-03-24T00:00:00"
"AMD","9W","647","13456","1","DEL","1450","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","432","1234567","1","DEL","1505","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0432","1234567","1","DEL","1510","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","9W","647","2","1","DEL","1515","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","G8","717","1234567","1","DEL","1550","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","0153","1234567","1","DEL","1940","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","UK","969","1234567","1","DEL","1945","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","153","1234567","1","DEL","1950","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","UK","969","1234567","1","DEL","2000","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","SG","193","1234567","1","DEL","2015","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","SG","193","1234567","1","DEL","2015","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","S2","4690","1234567","1","DEL","2055","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","S2","4690","1234567","1","DEL","2100","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","713","1234567","1","DEL","2135","IST","2017-05-15T00:00:00","2017-10-28T00:00:00"
"AMD","G8","713","1234567","1","DEL","2140","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","658","1234567","1","DEL","2210","IST","2017-05-01T00:00:00","2017-10-28T00:00:00"
"AMD","6E","658","1234567","1","DEL","2210","IST","2017-03-26T00:00:00","2017-04-30T00:00:00"
"AMD","6E","0658","1234567","1","DEL","2220","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","183","1234567","1","DEL","2250","IST","2017-10-01T00:00:00","2017-10-28T00:00:00"
"AMD","G8","183","1234567","1","DEL","2250","IST","2017-05-01T00:00:00","2017-06-30T00:00:00"
"AMD","6E","607","1234567","1","DEL","2310","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0607","1234567","1","DEL","2320","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","948","1234567","1","GOI","300","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0948","1234567","1","GOI","335","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","SG","924","7","1","GOI","940","IST","2017-10-29T00:00:00","2018-03-18T00:00:00"
"AMD","SG","924","7","1","GOI","940","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","162","1234567","1","GOI","1705","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0162","1234567","1","GOI","1705","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","SG","924","123456","1","GOI","1845","IST","2017-10-30T00:00:00","2018-03-24T00:00:00"
"AMD","SG","924","123456","1","GOI","1845","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0883","1234567","1","HYD","5","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","0995","1234567","1","HYD","710","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","995","1234567","1","HYD","715","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","G8","551","123456","1","HYD","1030","IST","2017-11-10T00:00:00","2018-03-24T00:00:00"
"AMD","6E","6361","123456","1","HYD","1335","IST","2017-10-30T00:00:00","2018-03-24T00:00:00"
"AMD","6E","6362","7","1","HYD","1505","IST","2017-10-29T00:00:00","2018-03-18T00:00:00"
"AMD","6E","6361","1234567","1","HYD","1520","IST","2017-04-08T00:00:00","2017-10-28T00:00:00"
"AMD","SG","512","2","1","HYD","1740","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","SG","512","2","1","HYD","1740","IST","2017-10-31T00:00:00","2018-03-20T00:00:00"
"AMD","G8","554","1234567","1","HYD","1800","IST","2017-11-10T00:00:00","2018-03-24T00:00:00"
"AMD","SG","827","1234567","1","HYD","1805","IST","2017-03-26T00:00:00","2017-04-30T00:00:00"
"AMD","LB","695","1234567","1","HYD","1820","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","SG","512","134567","1","HYD","2025","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","SG","512","134567","1","HYD","2025","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","883","1234567","1","HYD","2140","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","9W","2823","123456","1","IDR","1145","IST","2017-10-30T00:00:00","2018-03-24T00:00:00"
"AMD","6E","0238","1234567","1","JAI","925","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","238","1234567","1","JAI","930","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","G8","701","123456","1","JAI","1010","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","G8","701","123456","1","JAI","1015","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","AI","0769","123456","1","JAI","1320","IST","2017-12-01T00:00:00","2018-03-24T00:00:00"
"AMD","SG","923","123456","1","JAI","1415","IST","2017-10-30T00:00:00","2018-02-28T00:00:00"
"AMD","SG","923","123456","1","JAI","1415","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","574","1234567","1","LKO","2240","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0856","1234567","1","LKO","2300","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","SG","926","1234567","1","MAA","15","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","SG","926","1234567","1","MAA","40","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","0627","7","1","MAA","910","IST","2017-10-29T00:00:00","2018-03-18T00:00:00"
"AMD","6E","627","7","1","MAA","925","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0627","123456","1","MAA","930","IST","2017-10-30T00:00:00","2018-03-24T00:00:00"
"AMD","6E","627","123456","1","MAA","935","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0513","234567","1","MAA","1115","IST","2017-10-30T00:00:00","2018-03-24T00:00:00"
"AMD","SG","502","1234567","1","MAA","1500","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","SG","502","1234567","1","MAA","1500","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","237","1234567","1","MAA","1835","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0237","1234567","1","MAA","1835","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","451","1234567","1","PNQ","20","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","451","1234567","1","PNQ","25","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","673","1234567","1","PNQ","100","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","6E","0673","1234567","1","PNQ","100","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","6E","0352","1234567","1","PNQ","740","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","9W","2844","6","1","PNQ","1210","IST","2017-03-26T00:00:00","2017-04-30T00:00:00"
"AMD","9W","2844","1345","1","PNQ","1245","IST","2017-03-26T00:00:00","2017-04-30T00:00:00"
"AMD","9W","2844","2","1","PNQ","1455","IST","2017-03-26T00:00:00","2017-04-30T00:00:00"
"AMD","6E","135","123457","1","PNQ","1545","IST","2017-03-26T00:00:00","2017-10-27T00:00:00"
"AMD","6E","0135","123457","1","PNQ","1545","IST","2017-10-29T00:00:00","2018-03-23T00:00:00"
"AMD","SG","524","1234567","1","PNQ","2150","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","SG","524","1234567","1","PNQ","2155","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","SG","972","123456","1","VNS","1200","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","SG","921","123456","2","BLR","550","IST","2017-03-26T00:00:00","2017-10-28T00:00:00"
"AMD","SG","921","123456","2","BLR","600","IST","2017-10-30T00:00:00","2018-03-24T00:00:00"
"AMD","6E","823","1234567","2","BLR","735","IST","2017-03-26T00:00:00","2017-04-30T00:00:00"
"AMD","6E","823","1234567","2","BLR","850","IST","2017-05-01T00:00:00","2017-10-28T00:00:00"
"AMD","G8","802","2","2","BLR","900","IST","2017-10-29T00:00:00","2017-12-26T00:00:00"
"AMD","G8","802","2","2","BLR","900","IST","2018-01-01T00:00:00","2018-03-24T00:00:00"
"AMD","6E","0823","1234567","2","BLR","905","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","802","134567","2","BLR","910","IST","2017-10-29T00:00:00","2018-03-24T00:00:00"
"AMD","G8","799","134567","2","BLR","910","IST","2017-05-12T00:00:00","2017-10-28T00:00:00"
"AMD","6E","758","13456","2","BLR","1235","IST","2017-05-01T00:00:00","2017-10-28T00:00:00"
"AMD","6E","758","2","2","BLR","1235","IST","2017-05-02T00:00:00","2017-10-24T00:00:00"
"AMD","6E","0758","13456","2","BLR","1240","IST","2017-10-30T00:00:00","2018-03-24T00:00:00"
